Country;mortality_rate_ unsafe_wash_services;wash_deaths
Afghanistan;13.9;4824
Albania;0.2;5
Algeria;1.9;758
Angola;48.8;14065
Antigua_and_Barbuda;0.1;0
Argentina;0.4;159
Armenia;0.2;5
Australia;0.1;23
Austria;0.1;11
Azerbaijan;1.1;109
Bahamas;0.1;0
Bahrain;0.1;1
Bangladesh;11.9;19464
Barbados;0.2;0
Belarus;0.1;5
Belgium;0.3;32
Belize;1;4
Benin;59.7;6494
Bhutan;3.9;32
Bolivia;5.6;607
Bosnia_and_Herzegovina;0.1;3
Botswana;11.8;265
Brazil;1;2175
Brunei_Darussalam;0.1;0
Bulgaria;0.1;9
Burkina_Faso;49.6;9256
Burundi;65.4;6883
Cabo Verde;4.1;22
Cambodia;6.5;1020
Cameroon;45.2;10583
Canada;0.4;134
Central_African_Republic;82.1;3773
Chad;101;14603
Chile;0.2;36
China;0.6;8134
Colombia;0.8;366
Comoros;50.7;404
Congo;38.7;1984
Costa_Rica;0.9;42
Côte d'Ivoire;47.2;11174
Croatia;0.1;5
Cuba;1;118
Cyprus;0.3;3
Czechia;0.2;19
North_Korea;1.4;344
Democratic_Republic_of_the_Congo;59.8;47050
Denmark;0.3;17
Djibouti;31.3;295
Dominican_Republic;2.2;235
Ecuador;0.6;105
Egypt;2;1916
El_Salvador;2;127
Equatorial_Guinea;22.3;272
Eritrea;45.6;2258
Estonia;0.1;0
Eswatini;27.9;375
Ethiopia;43.7;44713
Fiji;2.9;26
Finland;0.1;2
France;0.3;172
Gabon;20.6;407
Gambia;29.7;605
Georgia;0.2;7
Germany;0.6;480
Ghana;18.8;5313
Greece;0.1;4
Grenada;0.3;0
Guatemala;6.3;1044
Guinea;44.6;5533
Guinea_Bissau;35.3;640
Guyana;3.6;28
Haiti;23.8;2581
Honduras;3.6;330
Hungary;0.2;23
Iceland;0.1;0
India;18.6;246088
Indonesia;7.1;18426
Iran;1;790
Iraq;3;1129
Ireland;0.1;4
Israel;0.2;20
Italy;0.1;82
Jamaica;0.6;18
Japan;0.2;213
Jordan;0.6;59
Kazakhstan;0.4;69
Kenya;51.2;24790
Kiribati;16.7;19
Kuwait;0.1;1
Kyrgyzstan;0.8;46
Laos;11.3;765
Latvia;0.1;0
Lebanon;0.8;47
Lesotho;44.4;978
Liberia;41.5;1917
Libya;0.6;37
Lithuania;0.1;2
Luxembourg;0.1;0
Madagascar;30.2;7526
Malawi;28.3;5118
Malaysia;0.4;131
Maldives;0.3;1
Mali;70.7;12726
Malta;0.1;0
Mauritania;38.6;1659
Mauritius;0.6;7
Mexico;1.1;1346
Micronesia;3.6;4
Mongolia;1.3;39
Montenegro;0.1;0
Morocco;1.9;671
Mozambique;27.6;7965
Myanmar;12.6;6674
Namibia;18.3;454
Nepal;19.8;5747
Netherlands;0.2;41
New_Zealand;0.1;7
Nicaragua;2.2;138
Niger;70.8;14640
Nigeria;68.6;127641
Norway;0.2;11
Oman;0.1;2
Pakistan;19.6;37847
Panama;1.9;76
Papua_New_Guinea;16.3;1319
Paraguay;1.5;98
Peru;1.3;406
Philippines;4.2;4332
Poland;0.1;35
Portugal;0.2;16
Qatar;0.1;0
South_Korea;1.8;917
Moldova;0.1;4
North_Macedonia;0.1;2
Romania;0.4;72
Russia;0.1;151
Rwanda;19.3;2306
Saint_Lucia;0.6;1
Saint_Vincent_and_the_Grenadines;1.3;1
Samoa;1.5;3
Sao_Tome_and_Principe;11.4;23
Saudi_Arabia;0.1;30
Senegal;23.9;3679
Serbia;0.7;65
Seychelles;0.2;0
Sierra_Leone;81.3;6013
Singapore;0.1;4
Slovakia;0.1;2
Slovenia;0.1;0
Solomon_Islands;6.2;37
Somalia;86.6;12396
South_Africa;13.7;7657
South_Sudan;63.3;7740
Spain;0.2;70
Sri_Lanka;1.2;248
Sudan;17.3;6856
Suriname;2;11
Sweden;0.2;21
Switzerland;0.1;12
Syria;3.7;676
Tajikistan;2.7;236
Thailand;3.5;2415
Timor_Leste;9.9;126
Togo;41.6;3167
Tonga;1.4;2
Trinidad_and_Tobago;0.1;2
Tunisia;1;116
Turkey;0.3;235
Turkmenistan;4;225
Uganda;31.6;13093
Ukraine;0.3;119
United_Arab_Emirates;0.1;3
United_Kingdom;0.2;130
United_Republic_of_Tanzania;38.4;21342
United_States_of_America;0.2;746
Uruguay;0.4;12
Uzbekistan;0.4;139
Vanuatu;10.4;28
Venezuela;1.4;439
Vietnam;1.6;1533
Yemen;10.2;2814
Zambia;34.9;5793
Zimbabwe;24.6;3965
